ACH Withdrawal ID,ACH Withdrawal Amount,EPS Account #,EPS Transaction ID,Transaction Amount,Transaction Date/Time,Transaction Type,EFN,Package Identification Code (PIC),Mail Class,Postage,CRID,Master MID,Permit Number,Permit Type,Permit Finance Number,Reason,Details,Cust Ref Num1,Cust Ref Num2,Dispute ID
131668995350827496,28.23,2684030563,8323559578299,27.14,2026-03-04 19:58:00,Label Purchase,89050868707882015754,5681697502068680752551,Priority Mail Express,27.14,196946120,936725700,869390,IMI,207894667,,,ORD-000013,,
597913790893666617,8.80,2684030563,8902368182594,8.56,2026-03-05 02:01:00,SCAN Form Used,93955125223811304706,0703436196582038704548,Priority Mail,8.56,196946120,936725700,869390,IMI,329771518,,,ORD-000014,,
893633053505841883,9.20,2684030563,1072874666695,8.88,2026-03-05 09:32:00,Shipping Services File,85502193318031550285,3761470451942320122948,Parcel Select Ground,8.88,196946120,936725700,869390,IMI,804080705,,,ORD-000015,,
486862490078692139,7.58,2684030563,9469219306574,8.26,2026-03-05 16:54:00,Label Purchase,28935969611464173477,1874085411798808242825,Priority Mail,8.26,196946120,936725700,869390,IMI,095402639,,,ORD-000016,,
908875089289330523,21.51,2684030563,0235080461795,20.37,2026-03-05 23:50:00,Shipping Services File,00846517948374178703,9526686472782086444173,Priority Mail,20.37,196946120,936725700,869390,OMAS,515920860,,,ORD-000017,,
949134569994842428,9.99,2684030563,6991345477063,9.63,2026-03-06 06:25:00,Shipping Services File,95023040422714614127,8803907341997969452634,First-Class Package Service,9.63,196946120,936725700,869390,OMAS,692633371,,,ORD-000018,,
075359478679847297,8.53,2684030563,6947190562192,8.78,2026-03-06 13:34:00,Carrier Pickup,42685790707308659915,2871469396019297898812,Priority Mail,8.78,196946120,936725700,869390,IMI,383186747,,,ORD-000019,,
105184761959056025,21.01,2684030563,1898822256884,21.98,2026-03-06 20:53:00,Label Purchase,39001020736181444524,6990277375788268792948,Priority Mail Express,21.98,196946120,936725700,869390,PI,966598707,,,ORD-000020,,
634320003253926998,14.90,2684030563,3125490642147,14.96,2026-03-07 03:51:00,Carrier Pickup,16571001259061555485,7057216482283349662118,Parcel Select Ground,14.96,196946120,936725700,869390,PI,938758914,,,ORD-000021,,
338257987399954442,5.48,2684030563,0531715467203,5.22,2026-03-07 10:59:00,Carrier Pickup,21723801234094014637,0617848389563397719226,Priority Mail,5.22,196946120,936725700,869390,IMI,810650272,,,ORD-000022,,
972128890180102157,18.69,2684030563,3958003028885,17.12,2026-03-07 17:16:00,Shipping Services File,89794383670545791433,5214284453635342321222,Priority Mail,17.12,196946120,936725700,869390,PI,437334902,,,ORD-000023,,
502195640171397751,14.86,2684030563,6958028096129,14.42,2026-03-08 00:28:00,Label Purchase,77481023806818005757,3068589493903350305308,USPS Ground Advantage,14.42,196946120,936725700,869390,IMI,328731068,,,ORD-000024,,
